feature,importance
indexmundi_rebar_price,0.9399728290860605
daily_metal_rebar_price,0.047022605936080944
barchart_rebar_futures,0.010986996968792689
usd_mxn_volatility_vs_commodities,6.495190185790228e-05
rebar_price_spread,4.9912599333634566e-05
day_of_year,4.3312178326376704e-05
reportacero_steel_prices,4.2050378577305076e-05
platts_mexican_rebar,4.203827272622839e-05
interest_rate_change_1d,4.1759046831559455e-05
rebar_price_volatility_7d,3.848960862993358e-05
industrial_trend,3.759154176650025e-05
silver_change_1d,3.701578625608777e-05
gold_volatility_7d,3.529985898057964e-05
usd_mxn_volatility_7d,3.520174219227824e-05
inegi_manufacturing_index,3.506337909189703e-05
inegi_employment_index,3.4809123899559915e-05
iron_ore_change_1d,3.388901387312346e-05
gold_change_1d,3.360472688614994e-05
commodity_index_ma_7,3.3443925580248416e-05
commodity_index_volatility_7d,3.307705507777505e-05
trade_tension_index,3.232050775713903e-05
iron_ore_volatility_7d,3.201200658901594e-05
sp_goldman_sachs_commodity_index,3.158350064880828e-05
inegi_industrial_production,3.1311356066472184e-05
construction_trend,3.119599616781745e-05
employment_trend,3.103691300362357e-05
usgs_coal_production,3.085838372652451e-05
inflation_volatility_7d,3.081853771114834e-05
silver_ma_7,3.0081525184824654e-05
commodity_index_change_1d,2.9799811288175092e-05
gdp_growth_change_1d,2.9133354712362517e-05
manufacturing_trend,2.815143274397512e-05
geopolitical_risk_ma_7,2.8056151322104563e-05
inflation_ma_7,2.796716199874845e-05
steel_production_impact,2.7507504610395423e-05
focus_coking_coal_price,2.7108598300703172e-05
geopolitical_risk_index,2.6907223160072932e-05
iron_ore_change_7d,2.671021969810303e-05
usd_mxn_change_1d,2.645320867308347e-05
inegi_construction_index,2.6269881140306978e-05
gold_silver_ratio,2.603122837296755e-05
usgs_steel_production,2.5904203456403297e-05
iron_ore_ma_7,2.588086507755374e-05
rebar_price_ma_7,2.577441359812116e-05
inflation_change_1d,2.5244211767421277e-05
gold_ma_7,2.4885938043049412e-05
interest_rate_volatility_7d,2.4740694015875836e-05
banxico_gdp_growth,2.463575141562951e-05
fred_us_interest_rate,2.4609789448093713e-05
banxico_inflation,2.4507011963703507e-05
rebar_volatility_vs_iron_ore,2.442450879346713e-05
rebar_price_correlation,2.412393661627607e-05
usd_mxn_strength,2.401259507281735e-05
usd_mxn_ma_7,2.378550930299081e-05
gdp_growth_volatility_7d,2.3676942659779826e-05
usd_mxn_change_7d,2.3390996509522663e-05
coal_iron_ore_ratio,2.290815016188077e-05
month,2.2638520128313682e-05
silver_volatility_7d,2.2577787887219277e-05
usd_mxn_volatility_30d,2.2405402887495216e-05
quandl_gold_prices,2.221426454250515e-05
gdp_growth_ma_7,2.1775315197651536e-05
trade_tension_ma_7,2.1410284509655405e-05
quandl_silver_prices,2.0889529919694913e-05
coal_production_impact,2.0435956298257402e-05
iron_ore_production_impact,1.98706365393667e-05
usd_mxn_ma_30,1.9631453364380084e-05
rebar_price_ma_30,1.8901189676087405e-05
alpha_vantage_iron_ore_price,1.8620432129096755e-05
yahoo_usd_mxn_rate,1.850560863821656e-05
usgs_iron_ore_production,1.81503969510351e-05
iron_ore_ma_30,1.526812729447475e-05
rebar_iron_ore_ratio,1.5148062538087144e-05
supply_chain_events_30d,8.755023160999358e-06
construction_season,5.806554646028768e-06
quarter,5.008115453604195e-06
is_weekend,2.5646861204410744e-06
supply_chain_disruption,1.6605005167819046e-06
